Medicine,Treats
Paracetamol,Fever
Ibuprofen,Pain
Aspirin,Inflammation
Amoxicillin,Bacterial infection
Ciprofloxacin,Urinary tract infection
Azithromycin,Respiratory infection
Metformin,Type 2 diabetes
Insulin,Diabetes
Losartan,Hypertension
Amlodipine,High blood pressure
Lisinopril,Hypertension
Omeprazole,Acid reflux
Pantoprazole,GERD
Ranitidine,Stomach ulcers
Cetirizine,Allergy
Loratadine,Seasonal allergy
Diphenhydramine,Allergic reaction
Dextromethorphan,Cough
Guaifenesin,Chest congestion
Salbutamol,Asthma
Budesonide,Asthma
Fluticasone,Allergic rhinitis
Prednisolone,Inflammation
Hydrocortisone,Skin allergy
Clobetasol,Eczema
Betamethasone,Psoriasis
Acetaminophen,Pain
Diclofenac,Arthritis
Naproxen,Menstrual pain
Clindamycin,Skin infection
Doxycycline,Acne
Tetracycline,Pneumonia
Metronidazole,Parasitic infection
Fluconazole,Fungal infection
Ketoconazole,Dandruff
Miconazole,Yeast infection
Clotrimazole,Ringworm
Atorvastatin,High cholesterol
Rosuvastatin,Hyperlipidemia
Simvastatin,High cholesterol
Furosemide,Edema
Hydrochlorothiazide,Hypertension
Spironolactone,Heart failure
Warfarin,Blood clot prevention
Heparin,Deep vein thrombosis
Clopidogrel,Stroke prevention
Aspirin (low dose),Heart attack prevention
Diazepam,Anxiety
Lorazepam,Insomnia
Alprazolam,Panic disorder
Sertraline,Depression
Fluoxetine,OCD
Escitalopram,Anxiety disorder
Amitriptyline,Chronic pain
Duloxetine,Nerve pain
Pregabalin,Epilepsy
Gabapentin,Neuropathic pain
Phenytoin,Seizures
Carbamazepine,Bipolar disorder
Valproic acid,Epilepsy
Levetiracetam,Seizures
Insulin Glargine,Diabetes mellitus
Glimepiride,Type 2 diabetes
Sitagliptin,Blood sugar control
Empagliflozin,Type 2 diabetes
Montelukast,Asthma
Theophylline,COPD
Tiotropium,Chronic bronchitis
Salmeterol,Asthma
Levothyroxine,Hypothyroidism
Carbimazole,Hyperthyroidism
Iron supplements,Anemia
Folic acid,Anemia
Vitamin D3,Osteoporosis
Calcium carbonate,Bone health
Alendronate,Osteoporosis
Methotrexate,Rheumatoid arthritis
Hydroxychloroquine,Lupus
Sulfasalazine,Ulcerative colitis
Mesalamine,Crohn’s disease
Omeprazole + Domperidone,Acid reflux
Rabeprazole,Peptic ulcer
